,melid,bar,beat,target,prediction_no_melody,prediction_with_melody,notes
0,1,0,0,Bb-7,D6,G6,0
1,1,0,0,G6,C6,G6,0
2,1,0,0,C-6,C6,C-6,0
3,1,0,0,F6,F6,F6,0
4,1,0,0,B7#5,Bbm7b5,Bbm7b5,0
5,1,0,0,G-6,G6,G6,0
6,1,0,0,C-6,C-6,C-6,0
7,1,0,0,F6,F6,F6,0
8,1,0,0,F-6,Bbm7b5,Bb-7,0
9,1,0,0,Bb6,Bb6,Bb6,0
10,1,0,0,Eb6,Eb6,Eb6,0
11,1,0,0,Ab6,Ab6,Ab6,0
12,1,0,0,D-6,D-6,C-6,0
13,1,0,0,G6,G6,G6,0
14,1,0,0,C-6,C-6,C-6,0
15,1,0,0,F6,F6,F6,0
16,1,0,0,Bb-7,Bb-7,Bb-7,0
17,1,0,0,G6,G6,G6,0
18,1,0,0,C-6,C-6,C-6,0
19,1,0,0,F6,F6,F6,0
20,1,0,0,B7#5,Bb-7,Bb-7,0
21,1,0,0,G-6,G6,G6,0
22,1,0,0,C-6,C-6,C-6,0
23,1,0,0,F6,F6,F6,0
24,1,0,0,F-6,F-6,Bb-7,0
25,1,0,0,Bb6,Bb6,Bb6,0
26,1,0,0,Eb6,Eb6,Eb6,0
27,1,0,0,Ab6,Ab6,Ab6,0
28,1,0,0,C-6,D-6,C-6,0
29,1,0,0,F6,F6,F6,0
30,1,0,0,Bb-7,Bb-7,Bb-7,0
31,1,0,0,D6,G6,G6,0
32,1,0,0,G6,G6,G6,0
33,1,0,0,C6,C6,C6,0
34,1,0,0,F6,F6,F6,0
35,1,0,0,B7#5,Bb-7,Bb-7,0
36,1,0,0,G6,G6,G6,0
37,1,0,0,C-6,C-6,C-6,0
38,1,0,0,F6,F6,F6,0
39,1,0,0,B7#5,Bb-7,Bb-7,0
40,1,0,0,G-6,G6,G6,0
41,1,0,0,C-6,C-6,C-6,0
42,1,0,0,F6,F6,F6,0
43,1,0,0,F-6,F-6,F-6,0
44,1,0,0,Bb6,Bb6,Bb6,0
45,1,0,0,Eb6,Eb6,Eb6,0
46,1,0,0,Ab6,Ab6,Ab6,0
47,1,0,0,C-6,D-6,C-6,0
48,1,0,0,F6,F6,F6,0
49,1,0,0,Bb-7,Bb-7,Bb-7,0
50,1,0,0,Bb-7,G6,G6,0
51,1,0,0,G6,G6,G6,0
52,1,0,0,C-6,C-6,C-6,0
53,1,0,0,F6,F6,F6,0
54,1,0,0,B7#5,Bb-7,Bb-7,0
55,1,0,0,G-6,G6,G6,0
56,1,0,0,C-6,C-6,C-6,0
57,1,0,0,F6,F6,F6,0
58,1,0,0,F-6,F-6,Bb-7,0
59,1,0,0,Bb6,Bb6,Bb6,0
60,1,0,0,Eb6,Eb6,Eb6,0
61,1,0,0,Ab6,Ab6,Ab6,0
62,1,0,0,D-6,D-6,D-6,0
63,1,0,0,G6,G6,G6,0
